Name,Age,Nationality,Overall,Potential,Position
E. Hyndman,22,United States,67,76,CM
Mamadu Candé,26,Guinea Bissau,67,67,LB
José Suárez,22,Spain,67,78,GK
T. Nara,24,Japan,67,72,RCB
N. Eardley,29,Wales,67,67,RB
W. Moke,30,DR Congo,67,67,CB
A. Davies,25,Wales,67,72,GK
C. Lade,28,United States,67,67,RB
R. Feltscher,27,Venezuela,67,67,RB
E. Kujovi?,30,Sweden,67,67,ST
M. Chrapek,26,Poland,67,67,LDM
M. Kobyla?ski,24,Poland,67,71,RCM
B. Hines-Ike,23,United States,67,73,LCB
A. Campbell,19,Scotland,67,77,LCM
S. Kaikai,22,England,67,73,LM
F. Onyedinma,21,Nigeria,67,75,LM
N. Aguerd,22,Morocco,67,75,CB
Wellington,30,Brazil,67,67,ST
F. Rai?evi?,24,Montenegro,67,71,LS
M. Szwoch,25,Poland,67,71,CAM
M. Connolly,30,England,67,67,RB
R. Le Normand,21,France,67,79,CB
W. Buckley,28,England,67,67,LM
L. Vilsvik,29,Norway,67,67,RB
J. Flanagan,25,England,67,71,RB
V. Yurchenko,24,Ukraine,67,73,CM
A. Stephens,23,Panama,67,70,ST
Héctor Verdés,34,Spain,67,67,CB
C. Evans,29,Wales,67,67,ST
M. Koch,23,Netherlands,67,73,CB
Guruzeta,21,Spain,67,78,ST
J. Aja,25,Uruguay,67,70,CB
Josema,22,Spain,67,75,CB
Quini,28,Spain,67,67,RB
D. Lovitz,26,United States,67,68,LB
José Kanté,27,Guinea,67,67,ST
H. Maïga,22,Ivory Coast,67,79,CDM
M. Lumb,30,Denmark,67,67,LB
B. Koïta,24,Niger,67,71,ST
V. Eicher,27,Germany,67,69,GK
F. Rodríguez,36,Mexico,67,67,LCB
D. Lafferty,29,Northern Ireland,67,67,LWB
J. Newell,25,England,67,68,LM
B. Romo,29,Chile,67,67,LCB
T. Thiele,26,Germany,67,68,LS
D. Mesenhöler,22,Germany,67,75,GK
Tomás Nuninho,34,Brazil,67,67,CDM
A. Saroka,26,Belarus,67,70,ST
M. Dreyer,29,France,67,68,GK
Y. Toutouh,25,Denmark,67,68,LM
A. Vargas,29,Colombia,67,67,CAM
S. Ojo,21,England,67,79,RW
Ramon Lopes,28,Brazil,67,67,ST
G. Zarfino,26,Uruguay,67,68,RDM
N. Gerzi?,34,Sweden,67,67,LCM
M. Godden,26,England,67,67,RS
Y. Tafer,27,Algeria,67,67,RW
A. Koura,25,Burkina Faso,67,71,ST
David Bruno,26,Portugal,67,70,RB
Fepe Avedo,30,Brazil,67,67,GK
F. Signorelli,27,Venezuela,67,67,CM
J. Jørgensen,29,Norway,67,67,RCB
I. Chebake,28,Morocco,67,67,RB
M. Kenlock,21,England,67,78,LB
Mateus Tangil,30,Brazil,67,67,GK
Hwang Jin Sung,34,Korea Republic,67,67,CAM
N. Maynard,31,England,67,67,LS
L. Cháves,22,Argentina,67,73,GK
K. Paal,21,Netherlands,67,76,LB
M. Campos,24,Chile,67,71,ST
B. Hamer,30,England,67,67,GK
A. Jung,26,Germany,67,68,LB
C. Morgan,33,Wales,67,67,RCB
Y. Konno,35,Japan,67,67,LCM
P. Pellegri,17,Italy,67,88,ST
F. Andriatsima,34,Madagascar,67,67,ST
E. Soriano,29,Germany,67,67,ST
N. Poulsen,24,Denmark,67,71,RCM
A. Ba,24,Mauritania,67,70,CB
L. imi?,21,Croatia,67,76,CB
M. Baudry,30,France,67,67,CB
M. Tandjigora,28,Gabon,67,67,CDM
D. Mendoza,25,Argentina,67,69,ST
Ren Hang,29,China PR,67,67,LCB
Caro,24,Spain,67,73,GK
R. Koike,22,Japan,67,70,RB
J. Nikolaou,24,Germany,67,72,LCM
Cristian Rivero,20,Spain,67,79,GK
F. Amuzu,18,Belgium,67,81,LF
V. Lundberg,27,Sweden,67,68,RW
Yago,22,Brazil,67,74,CDM
Traeira Lopes,26,Brazil,67,67,GK
C. Grindheim,34,Norway,67,67,CAM
M. Álvarez,26,Germany,67,68,ST
D. Malone,29,Suriname,67,67,LCM
A. Gasbarro,23,Italy,67,72,LCB
S. May,25,Scotland,67,70,ST
Miguel Flaño,33,Spain,67,67,CB
B. Thompson,22,England,67,74,LCM
Paulo Henrique,20,Brazil,67,74,RW
Marcelo Djaló,24,Spain,67,72,CB
A. Seydel,22,Germany,67,76,ST
A. Al Fraidi,30,Saudi Arabia,67,67,CAM
J. Wójcicki,29,Poland,67,67,RB
C. Hountondji,24,Benin,67,72,CB
I. Mhirsi,24,Tunisia,67,73,LM
Ji Xiang,28,China PR,67,67,RB
J. Young,32,England,67,67,GK
Welliton Helmes,30,Brazil,67,67,CAM
E. Grezda,23,Albania,67,74,RW
S. Mielitz,28,Germany,67,68,GK
P. Riese,28,Germany,67,67,RCM
N. Körber,21,Germany,67,79,GK
A. Rodriguez,25,Uruguay,67,67,RCM
A. Calisir,28,Sweden,67,69,CB
R. Torres,26,Colombia,67,68,CAM
R. McKenzie,24,Scotland,67,70,RM
D. Iorfa,23,England,67,71,RWB
L. Rosseti,23,Italy,67,74,ST
Dani Ojeda,23,Spain,67,72,LM
M. Preston,23,England,67,70,RCB
Josan,28,Spain,67,67,RM
P. Dahlberg,19,Sweden,67,80,GK
Kim Ho Jun,34,Korea Republic,67,67,GK
A. Calello,31,Argentina,67,67,LDM
J. Sims,21,England,67,77,RW
B. Borrello,22,Australia,67,73,RM
T. Andreu,30,France,67,67,CAM
J. Hendry,23,Scotland,67,74,CB
O. Albornoz,22,Colombia,67,76,LB
M. Thiam,23,Senegal,67,76,LM
B. Djimsiti,25,Albania,67,74,CB
Y. Regäsel,22,Germany,67,74,RB
Jo Young Cheol,29,Korea Republic,67,67,RS
L. Kassi,23,Ivory Coast,67,71,CAM
A. Mowatt,23,England,67,75,LCM
H. Rivera,24,Colombia,67,70,LM
André Claro,27,Portugal,67,67,LM
Felipe Saad,34,Brazil,67,67,RCB
Asdrúbal,27,Spain,67,68,ST
S. Nieuwpoort,25,Netherlands,67,70,RCB
Clemente,34,Portugal,67,67,ST
Luan Peres,23,Brazil,67,72,CB
A. Lioi,21,Argentina,67,79,RM
M. López,27,Argentina,67,70,LCB
E. Vega,28,Ecuador,67,68,CDM
A. Messaoud,27,Morocco,67,67,CAM
L. Silva,29,United States,67,67,ST
J. Højbjerg,23,Denmark,67,76,GK
J. Delgado,25,Chile,67,69,LM
M. Schwäbe,23,Germany,67,73,GK
Kwon Kyung Won,26,Korea Republic,67,71,LCB
M. Zetterer,22,Germany,67,75,GK
Fred Soidares,34,Brazil,67,67,LB
L. Menalo,21,Bosnia Herzegovina,67,75,LW
Juan Muñiz,26,Spain,67,68,RM
Kike Márquez,28,Spain,67,67,LM
P. Netzer,32,Austria,67,67,CB
S. Skarlatidis,27,Germany,67,67,LM
L. Owona,27,Cameroon,67,69,RCB
J. Samuelsen,33,Norway,67,67,RCM
J. Cummings,22,Scotland,67,75,ST
R. Preißinger,21,Germany,67,75,LCM
S. Pettinari,26,Italy,67,68,ST
N. Dams,28,Germany,67,67,LDM
B. Edomwonyi,23,Nigeria,67,74,ST
R. Naranjo,38,Chile,67,67,GK
J. Tinhan,29,Benin,67,67,ST
H. Mizumoto,32,Japan,67,67,RCB
A. Brosque,34,Australia,67,67,RS
S. Becker,23,Netherlands,67,73,RW
Yu Rui,25,China PR,67,71,RCB
P. Senderos,33,Switzerland,67,67,CB
F. Rodríguez,31,Colombia,67,67,RDM
H. Sato,36,Japan,67,67,ST
R. Matthews,24,England,67,75,GK
T. Bishop,21,England,67,77,CM
Lluis López,21,Spain,67,77,CB
S. McLaughlin,28,Republic of Ireland,67,67,RM
E. Aguilar,26,Costa Rica,67,68,CM
M. Asselah,31,Algeria,67,67,GK
A. Dembélé,30,France,67,67,CM
Breno Laranjeiro,30,Brazil,67,67,CAM
J. Nietfeld,24,Germany,67,73,ST
A. emper,20,Croatia,67,80,GK
T. Hájek,26,Czech Republic,67,69,CB
Dani Rodríguez,30,Spain,67,67,RCM
M. Deplagne,26,France,67,68,RB
G. Díaz,28,Argentina,67,67,LM
C. Brunner,24,Switzerland,67,73,RB
P. Lipski,24,Poland,67,73,LCM
André Ferreira,22,Portugal,67,75,GK
A. Ribera,22,Bolivia,67,72,RM
Assis,28,Brazil,67,67,GK
G. Hernández,25,Mexico,67,72,CM
J. Pineda,29,Chile,67,67,LW
M. Donoso,31,Chile,67,67,ST
L. Zander,22,Germany,67,74,RB
Curro Sánchez,22,Spain,67,74,LM
Santamaría,33,Spain,67,67,GK
Z. Dedi?,33,Slovenia,67,67,ST
C. Vargas,28,Colombia,67,69,GK
Akieme,20,Spain,67,72,LB
Tete Morente,21,Spain,67,79,LM
Shin Hyung Min,31,Korea Republic,67,67,LM
N. Yennaris,25,England,67,70,RCM
P. van Ooijen,26,Netherlands,67,69,CM
G. Cvijanovi?,31,Slovenia,67,67,CAM
T. Taguchi,27,Japan,67,68,LCM
M. Saunier,28,France,67,67,CB
L. Parunashvili,25,Georgia,67,72,CDM
R. Acquafresca,30,Italy,67,67,ST
C. Tabó,24,Uruguay,67,69,LCM
Claytisco Branco,34,Brazil,67,67,RB
S. Nijland,29,Netherlands,67,67,CAM
J. Guthrie,25,England,67,68,LCB
J. Fernández,23,Argentina,67,75,LCM
R. Crivello,26,Italy,67,67,LB
T. Ayasse,31,France,67,67,CDM
D. Zúñiga,21,Chile,67,78,LB
L. Za?uska,36,Poland,67,67,GK
R. Vasilev,27,Bulgaria,67,67,ST
M. Schmerböck,24,Austria,67,73,RS
Y. Abe,36,Japan,67,67,CB
J. Ruiz,20,France,67,79,CB
M. Bravo,31,Argentina,67,67,ST
Augusto,30,Portugal,67,67,CDM
A. Maxsø,24,Denmark,67,73,LCB
D. Vergara,21,Colombia,67,78,RM
Park Dong Jin,23,Korea Republic,67,73,CB
A. Maksimenko,20,Russia,67,80,GK
M. Vrushaj,19,Albania,67,80,LM
L. Garbutt,25,England,67,71,LB
G. Munari,35,Italy,67,67,CM
C. Burke,26,Jamaica,67,68,ST
Rudy,29,Angola,67,67,RM
S. Kneevi?,21,Switzerland,67,79,CB
M. Heider,32,Germany,67,67,RM
J. Alnwick,25,England,67,72,GK
S. O'Donnell,26,Scotland,67,70,RB
S. Edera,21,Italy,67,77,RW
A. Arellano,23,Mexico,67,73,CDM
G. Hupperts,26,Netherlands,67,68,RW
L. Isgrove,25,Wales,67,70,RM
M. Lampson,28,United States,67,69,GK
R. Di Gennaro,24,Italy,67,70,GK
Melvin Regalito,26,Brazil,67,67,CAM
L. Akins,29,England,67,67,RB
J. Valencia,26,Colombia,67,69,ST
L. Ayçiçek,24,Germany,67,72,LM
E. Albín,29,Uruguay,67,67,RB
M. Troiano,33,Italy,67,67,CM
F. Escobar,23,Panama,67,73,CB
N. Linares,22,Argentina,67,77,CDM
J. Ávila,26,Colombia,67,69,CB
Nuno Valente,26,Portugal,67,68,CM
R. Baku,20,Germany,67,82,CM
Samu,22,Portugal,67,73,LM
D. Vicencio,25,Chile,67,71,CB
C. Shields,27,Republic of Ireland,67,69,RCM
Choi Sung Keun,26,Korea Republic,67,68,CM
O. Sow,28,Sweden,67,67,ST
L. Orejuela,22,Colombia,67,73,RB
S. Leuko,24,Cameroon,67,72,RB
D. Goutas,24,Greece,67,72,CB
Wilsson Rosito,34,Brazil,67,67,CAM
D. Rigo,19,Belgium,67,80,CM
A. Bastoni,19,Italy,67,87,CB
S. Eastwood,29,England,67,69,GK
T. Boyd,27,United States,67,67,ST
F. Nájera,34,Colombia,67,67,CB
Jairo,24,Spain,67,70,LM
D. Milinkovi?,24,France,67,73,LM
F. Ayé,21,France,67,74,ST
J. Vachoux,23,France,67,75,GK
N. Bajrami,19,Switzerland,67,82,LCM
P. Mandanda,28,DR Congo,67,68,GK
M. ?uri?,28,Bosnia Herzegovina,67,67,ST
Éverton Luiz,30,Brazil,67,67,CDM
Puertas,26,Spain,67,68,RM
J. Duverne,20,France,67,77,CB
G. Dicker,31,Republic of Ireland,67,67,RCM
G. Massey,25,England,67,68,RM
N. Stefanelli,24,Argentina,67,74,ST
J. Andrada,23,Argentina,67,75,CDM
R. Zhemaletdinov,21,Russia,67,77,ST
L. Sercombe,28,England,67,67,LCM
D. De Belder,26,Belgium,67,69,ST
J. Kubicki,22,Poland,67,73,RCM
J. Rasmussen,21,Denmark,67,78,CB
Y. Ramadani,22,Albania,67,74,CM
E. Akichi,28,Ivory Coast,67,68,LCM
C. Chiricò,26,Italy,67,67,RW
H. Sacko,24,Mali,67,71,RM
Chris Farminhão,34,Brazil,67,67,CB
D. Keita-Ruel,28,Germany,67,67,ST
P. Zulu,25,South Africa,67,68,LM
H. Bahebri,25,Saudi Arabia,67,68,RM
C. Arias,30,Colombia,67,67,ST
Jeong Woo Jae,26,Korea Republic,67,68,RM
W. Dammers,23,Netherlands,67,70,LCB
K. Kotsaris,21,Greece,67,77,GK
M. Poletanovi?,24,Serbia,67,73,RDM
J. Hopcutt,26,England,67,70,CF
P. Ma?ecki,29,Poland,67,67,LM
B. Mitrev,31,Bulgaria,67,67,GK
Qin Sheng,31,China PR,67,67,CDM
Marco Soares,34,Cape Verde,67,67,CDM
Romário,32,Brazil,67,67,LCM
Pedro Trigueira,30,Portugal,67,68,GK
A. Hrusti?,21,Australia,67,75,CAM
U. Segura,25,Costa Rica,67,70,CM
J. Billong,24,France,67,71,CB
L. Arias,33,Colombia,67,67,LM
K. Arkivuo,35,Finland,67,67,LB
S. Palombi,22,Italy,67,76,RS
G. Maggiore,20,Italy,67,83,CM
M. Konrad,30,Germany,67,67,RDM
Zheng Long,30,China PR,67,67,LW
A. Lazaar,26,Morocco,67,68,LB
J. Donachie,25,Australia,67,69,LCB
J. Bizama,24,Chile,67,74,RB
A. Rossi,21,Italy,67,77,ST
Nolaskoain,19,Spain,67,78,CB
H. Singh,27,Norway,67,67,LCM
João Carlos,23,Brazil,67,71,ST
J. Nation,28,Norway,67,68,RCB
S. Kulovits,35,Austria,67,67,CDM
T. Grøgaard,24,Norway,67,74,LB
R. Williams,24,Australia,67,70,RM
F. Miguel,21,France,67,76,LB
M. Bukata,24,Slovakia,67,70,CM
K. Broll,22,Germany,67,74,GK
M. Jiménez,28,Mexico,67,69,GK
K. Nagai,29,Japan,67,67,ST
C. Philipps,24,Luxembourg,67,73,CDM
M. Sadler,33,England,67,67,LCB
F. Centonze,22,France,67,75,RB
J. Ligali,27,France,67,71,GK
A. Sánchez,31,Argentina,67,67,GK
A. Nalini,28,Italy,67,67,LS
Zheng Zheng,28,China PR,67,67,LB
Héctor Rodas,30,Spain,67,67,CB
D. Høegh,27,Denmark,67,68,RCB
C. Martschinko,24,Austria,67,72,LB
F. Micolta,28,Colombia,67,67,ST
J. Piotrowski,20,Poland,67,77,CM
M. Carretta,27,Italy,67,67,LW
J. Skalák,26,Czech Republic,67,68,LM
L. Lindsay,22,Scotland,67,77,LCB
V. Hoff,22,Norway,67,75,CM
M. Zaccagni,23,Italy,67,75,CM
R. Vera,35,Argentina,67,67,RCB
J. Riedel,26,Germany,67,69,LCB
T. Yalç?ner,31,Turkey,67,67,CDM
B. De Alba,25,Colombia,67,72,CAM
A. Nouri,28,Norway,67,67,RB
C. Gartner,24,Austria,67,71,CM
T. Geyer,27,Germany,67,67,LCB
L. Domínguez,28,Chile,67,68,CB
Naldo,28,Brazil,67,67,CDM
L. Kelly,19,England,67,83,LB
S. Whalley,30,England,67,67,RM
K. Anzai,23,Japan,67,74,LB
C. Pontius,30,United States,67,67,RM
E. Zavaleta,25,United States,67,69,CB
G. O'Neil,35,England,67,67,CDM
G. Loovens,34,Netherlands,67,67,CB
A. González,30,Uruguay,67,67,RCB
Luís Cortez,24,Portugal,67,70,CAM
M. Hernández,35,Mexico,67,67,GK
C. Donaldson,34,Jamaica,67,67,ST
D. Mendiseca,22,Paraguay,67,67,LB
S. Cronin,31,United States,67,67,CDM
J. Taylor,25,England,67,68,LM
R. Hall,24,England,67,70,RM
S. Gbohouo,29,Ivory Coast,67,68,GK
N. Yeri,26,Argentina,67,68,CM
M. Pinato,23,Italy,67,75,LCM
M. Johnson,27,England,67,67,LM
D. Wouters,21,Belgium,67,76,CDM
J. Campuzano,22,Colombia,67,80,CDM
Z. Valentin,26,United States,67,68,LB
L. Néry,27,France,67,68,RB
J. Iglesias,29,Uruguay,67,67,RDM
M. El Hamdaoui,33,Morocco,67,67,ST
Welson Leima,34,Brazil,67,67,CDM
M. Little,29,England,67,67,RB
B. Lennon,20,United States,67,78,RB
N. Mitrovi?,25,Slovenia,67,72,CB
Serginho,35,Portugal,67,67,GK
R. Buess,25,Switzerland,67,70,ST
A. Al Sahabi,31,Saudi Arabia,67,67,RCB
Y. El Jebli,25,Netherlands,67,69,CAM
C. Durkin,18,United States,67,84,CDM
P. Bengtsson,30,Sweden,67,67,LB
F. Kamberi,23,Switzerland,67,76,ST
D. Irandust,20,Sweden,67,77,CAM
L. Nomenjanahary,32,Madagascar,67,67,RW
D. Steres,27,United States,67,68,RCB
G. Donyoh,23,Ghana,67,73,LW
Castro,23,Spain,67,73,ST
F. Troyansky,21,Argentina,67,80,ST
D. Koppers,26,Netherlands,67,68,LB
M. Moscati,25,Italy,67,70,CM
J. Roa,23,Colombia,67,75,RDM
Lu Wenjun,29,China PR,67,67,ST
F. Crivelli,36,Argentina,67,67,GK
J. Amoroso,30,Argentina,67,67,RM
A. Barillà,30,Italy,67,67,RCM
K. Agard,28,England,67,67,RW
Y. Boli,30,Ivory Coast,67,67,LS
Borja Viguera,31,Spain,67,67,ST
A. Masika,25,Kenya,67,68,LM
S. Kroon,25,Sweden,67,70,RM
A. Al Hafith,25,Saudi Arabia,67,72,CB
J. Gradit,25,France,67,70,RB
L. Boeder,21,Germany,67,74,RB
T. Pochettino,22,Argentina,67,75,CM
A. Robic,32,France,67,67,RM
E. Nazaryna,20,Ukraine,67,76,CM
J. Cascante,24,Costa Rica,67,72,LCB
A. Ibrahim,27,Norway,67,68,CM
F. Ulvestad,26,Norway,67,70,CM
C. Çavlan,26,Netherlands,67,69,LM
F. Ben Youssef,27,Tunisia,67,67,LM
M. Pu?ko,24,Slovenia,67,71,RM
C. Gönen,30,Turkey,67,67,GK
S. Moore,28,England,67,67,GK
L. Taylor,28,Montserrat,67,67,RS
M. de Leeuw,31,Netherlands,67,67,CAM
A. Ngamukol,30,DR Congo,67,67,ST
F. Brandán,28,Argentina,67,67,LM
Zubiaurre,21,Spain,67,75,GK
S. Quinn,32,Republic of Ireland,67,67,CDM
S. Bertram,27,Germany,67,67,RS
Z. Korcsmár,29,Hungary,67,67,CB
Camacho,37,Spain,67,67,CAM
D. Sorgi?,28,Serbia,67,67,ST
P. Mortensen,28,Denmark,67,67,LS
Tekio,27,Spain,67,67,RB
P. Ofosu-Ayeh,26,Ghana,67,68,RB
M. Bíttolo,28,Argentina,67,67,LB
B. Djiby Fall,33,Senegal,67,67,ST
D. Cardoso,29,South Africa,67,67,LCB
J. Demetriou,30,Cyprus,67,67,RB
Ilhamjan Iminjan,32,China PR,67,67,RM
M. Ritzmaier,25,Austria,67,70,LCM
C. Dell'Orco,24,Italy,67,73,LB
H. Shala,26,Norway,67,70,RW
R. Williams,26,South Africa,67,72,GK
S. Molina,26,Italy,67,68,RM
J. Ángulo,22,Colombia,67,77,LB
F. Guichón,27,Uruguay,67,67,LM
G. Tormin,20,France,67,78,RM
R. Noya,28,Argentina,67,67,RCB
L. Clemenza,20,Italy,67,76,CAM
Paik Seung Ho,21,Korea Republic,67,77,CM
L. Wolszty?ski,23,Poland,67,73,RS
P. Göbel,24,Germany,67,69,RB
A. Gouiri,18,France,67,86,ST
S. Bruzzese,29,Belgium,67,68,GK
M. Njie,22,Norway,67,75,LM
S. Raggett,24,England,67,73,CB
P. Klewin,24,Germany,67,73,GK
G. ?ucudean,27,Romania,67,68,ST
J. Ward,32,Northern Ireland,67,67,ST
S. Jovanovi?,26,Serbia,67,68,ST
N. Schouterden,29,Belgium,67,67,LM
S. Wannenwetsch,26,Germany,67,69,RB
R. Oxford,19,England,67,80,CB
R. Gelmi,23,Switzerland,67,77,RCB
Elgezabal,25,Spain,67,71,CB
C. Schorch,29,Germany,67,67,RCB
F. Migliore,30,Italy,67,67,LB
M. Gilks,36,Scotland,67,67,GK
Renan Tojeiras,34,Brazil,67,67,CDM
G. Miura,23,Japan,67,76,RCB
Juande,31,Spain,67,67,RDM
H. Rojas,30,Colombia,67,67,CM
Nuno Cedrim,26,Brazil,67,67,CAM
F. Orlando,21,Italy,67,79,RW
I. Henderson,33,England,67,67,LCM
L. Bostyn,24,Belgium,67,71,GK
L. Abergel,25,France,67,71,RB
A. Zapata,23,Colombia,67,74,RW
M. Smith,26,England,67,68,ST
N. Zimling,33,Denmark,67,67,LCM
J. Bager,21,Denmark,67,74,RCB
G. Masouras,21,Greece,67,74,RB
G. Bourillon,34,France,67,67,CB
A. D'Alberto,23,Belgium,67,72,RB
Lee Seok Hyun,28,Korea Republic,67,67,RCM
W. Francis,27,Costa Rica,67,67,LB
B. V?t?jelu,25,Romania,67,70,LM
M. Bani,24,Italy,67,72,RCB
N. Butzen,25,Germany,67,69,RM
L. Ili?,18,Serbia,67,79,CAM
E. Trejo,28,Mexico,67,67,CM
T. Eaves,26,England,67,68,RS
D. Del Fabro,23,Italy,67,72,CB
Pol García,23,Spain,67,73,LCB
F. Escobar,23,Argentina,67,74,RB
D. Agazzi,25,Italy,67,70,RCM
C. Cambon,31,France,67,67,RCB
A. Tembeng,26,Cameroon,67,70,CDM
A. Gomes,17,England,67,87,CAM
Estevãtinho,26,Brazil,67,67,CAM
S. Lex,28,Germany,67,67,RW
Bernabé,25,Spain,67,73,GK
K. Matsubara,25,Japan,67,72,RB
E. Purita,21,Argentina,67,81,RB
S. Guri,24,Albania,67,71,ST
C. Albanis,23,Greece,67,73,LM
F. Holthaus,23,Germany,67,75,LWB
L. da Silva Lopes,19,Portugal,67,79,RM
S. MacDonald,30,Wales,67,67,CDM
M. Reynolds,31,Scotland,67,67,CB
M. Janota,27,Poland,67,67,CAM
Piao Cheng,28,China PR,67,67,RCM
M. McNulty,25,Scotland,67,69,ST
Alan Schons,25,Brazil,67,70,CM
L. Heredia,21,Argentina,67,75,RW
T. Elliott,27,England,67,67,ST
R. Lundström,28,Sweden,67,67,RWB
S. Ganz,24,Italy,67,72,ST
A. El Kaabi,25,Morocco,67,71,ST
P. Testroet,27,Germany,67,67,LS
S. Benyamina,28,Germany,67,67,ST
C. Sepúlveda,26,Chile,67,72,LCM
E. Assifuah,24,Ghana,67,70,ST
L. Robles,31,Mexico,67,67,CM
V. N'Simba,24,DR Congo,67,70,LB
C. Handke,29,Germany,67,67,CB
S. Córdova,20,Venezuela,67,78,ST
K. Kratz,31,Germany,67,67,CAM
M. Lowe,21,England,67,77,LB
Claude Gonçalves,24,Portugal,67,71,CDM
D. Swanson,31,Scotland,67,67,LM
G. Trauner,26,Austria,67,72,CB
Accioly,37,Brazil,67,67,LCB
G. Iñíguez,24,Argentina,67,72,CM
D. Furlong,22,England,67,74,RB
J. Larsson,21,Sweden,67,77,ST
Matheus Índio,22,Brazil,67,75,RM
Guarrotxena,25,Spain,67,68,RM
D. McGowan,26,Australia,67,68,CB
B. Sankoh,26,Guinea,67,70,CDM
G. Evans,30,England,67,67,CAM
J. Gómez,27,Argentina,67,68,RB
A. Márquez,26,Chile,67,68,RB
O. ?el?stka,29,Czech Republic,67,67,RCB
F. Öztorun,31,Turkey,67,67,LB
C. Mafla,25,Colombia,67,71,LB
I. Ochoa,21,Mexico,67,75,CDM
Lucas Fernandes,20,Brazil,67,80,CM
Fernando Andrade,25,Brazil,67,72,RW
T. Breukers,30,Netherlands,67,67,RB
E. Salomonsson,29,Sweden,67,67,RWB
A. Iacobucci,27,Italy,67,68,GK
P. Izzo,23,Australia,67,72,GK
M. Farrona Pulido,25,Germany,67,69,LM
S. Diarra,23,Mali,67,73,RM
Frederico Rendel,30,Brazil,67,67,CAM
R. Tait,28,Scotland,67,67,LWB
Y. Kurtulu?,32,Turkey,67,67,RCM
M. Starke,27,Namibia,67,68,CF
J. Wilson,22,England,67,74,ST
E. Tozlu,27,Turkey,67,67,LM
Javi Flores,32,Spain,67,67,LCM
R. Cereceda,33,Chile,67,67,LB
E. Padella,29,Italy,67,67,LCB
J. Onguéné,20,Cameroon,67,81,LCB
B. Bahn,25,Germany,67,69,LDM
D. Prokop,21,Austria,67,78,CAM
N. Seufert,21,Germany,67,78,CM
S. Lobjanidze,23,Georgia,67,75,LM
J. Miño,30,Argentina,67,67,LDM
M. Ullmann,22,Austria,67,76,LM
M. Mandorlini,29,Italy,67,67,CM
C. Mahoney,21,England,67,77,RM
J. Fortes,29,Cape Verde,67,67,RB
G. Mastinu,26,Italy,67,68,CAM
Alex Doneiro,30,Brazil,67,67,CAM
Miguel Oliveira,24,Portugal,67,71,GK
J. von Haacke,24,Germany,67,71,RDM
Jang Yun Ho,21,Korea Republic,67,74,CM
F. Beijmo,20,Sweden,67,79,RB
D. Furman,30,South Africa,67,67,LDM
Park Jong Woo,29,Korea Republic,67,67,CM
E. Lieftink,24,Netherlands,67,72,CM
Diego Aguirre,27,Spain,67,67,LM
Gustavo Pastinho,26,Brazil,67,67,ST
R. Manaj,21,Albania,67,78,ST
F. Kadioglu,18,Netherlands,67,79,CAM
Alex López,21,Spain,67,75,CM
D. Perkins,36,England,67,67,CM
J. Bendik,29,United States,67,69,GK
Varela,23,Spain,67,74,LM
Oriol Busquets,19,Spain,67,82,CDM
Pipa,20,Spain,67,75,RB
Pardo,30,Spain,67,67,RCB
T. Lam,24,Finland,67,70,LCM
J. Rodon,20,Wales,67,76,LCB
Abel Ruiz,18,Spain,67,83,ST
J. Attinella,29,United States,67,68,GK
A. Mendoza,24,Mexico,67,71,LB
P. Zinckernagel,23,Denmark,67,73,RW
E. Güral,29,Turkey,67,67,RM
Ko Seung Beom,24,Korea Republic,67,72,RM
E. Zhegrova,19,Kosovo,67,80,RM
B. Baráth,26,Hungary,67,69,RB
E. Bakker,28,Netherlands,67,67,RCM
G. Kastaneer,22,Curacao,67,76,LM
R. Rubin,22,United States,67,74,ST
F. Altamirano,22,Argentina,67,79,GK
M. Wanitzek,25,Germany,67,70,LCM
H. Fujiharu,29,Japan,67,67,LB
C. Colmán,24,Paraguay,67,73,ST
K. Kuchaev,20,Russia,67,77,CAM
J. Shonga,21,Zambia,67,73,ST
S. Sararer,28,Turkey,67,67,LM
M. Grimes,22,England,67,73,LB
G. Kamara,22,Finland,67,75,RCM
J. Salas,24,Mexico,67,71,CM
R. Perraud,20,France,67,79,LB
G. Baldock,25,England,67,70,RWB
Y. Nakayama,21,Japan,67,74,LDM
P. Eler,27,Slovenia,67,68,ST
Nano,33,Spain,67,67,LB
X. Mlambo,27,South Africa,67,68,CM
O. Andrievskyi,24,Ukraine,67,74,CDM
A. Judge,29,Republic of Ireland,67,67,LW
E. Alvarado,29,Costa Rica,67,67,GK
Buatu,24,Angola,67,72,LCB
A. Czerwi?ski,25,Poland,67,70,RB
V. Sarno,30,Italy,67,67,CAM
M. Pui?,30,Austria,67,67,ST
E. Fryers,25,England,67,70,LB
P. Caballero,32,Argentina,67,67,ST
A. El-Abd,33,Egypt,67,67,LCB
K. Wojtkowski,20,Poland,67,81,CAM
T. Boss,25,Germany,67,73,GK
J. Earl,19,England,67,78,LB
S. Özkan,31,Turkey,67,67,LM
J. Murillo,24,Colombia,67,73,LCB
S. Jaime,31,Argentina,67,67,ST
M. Bader,21,Germany,67,75,RB
D. Arboleda,23,Colombia,67,78,CB
B. Merlini,22,Argentina,67,76,LM
M. Smith,29,Northern Ireland,67,67,RB
M. Helik,22,Poland,67,72,CB
J. Föhrenbach,22,Germany,67,73,LB
